<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>
2023.01.18,2:00:00,1.07895,1.07913,1.07824,1.07843,2036
2023.01.18,3:00:00,1.07843,1.07963,1.07832,1.07962,2613
2023.01.18,4:00:00,1.07962,1.07993,1.07661,1.0787,7346
2023.01.18,5:00:00,1.07874,1.07891,1.07681,1.07731,6171
2023.01.18,6:00:00,1.07731,1.07776,1.07671,1.07745,3560
2023.01.18,7:00:00,1.07745,1.07802,1.07679,1.07797,3954
2023.01.18,8:00:00,1.07794,1.0791,1.07793,1.07895,5237
2023.01.18,9:00:00,1.07897,1.08367,1.07893,1.08255,10440
2023.01.18,10:00:00,1.08256,1.08514,1.08255,1.08434,8841
2023.01.18,11:00:00,1.08435,1.08715,1.08371,1.08699,7352
2023.01.18,12:00:00,1.08699,1.087,1.08498,1.08527,6060
2023.01.18,13:00:00,1.08528,1.08543,1.08114,1.08159,5909
2023.01.18,14:00:00,1.08152,1.08338,1.08147,1.0824,5521
2023.01.18,15:00:00,1.08237,1.08679,1.08223,1.08583,10505
2023.01.18,16:00:00,1.08584,1.08874,1.08478,1.08639,13498
2023.01.18,17:00:00,1.08639,1.08689,1.08267,1.08333,11485
2023.01.18,18:00:00,1.08334,1.08357,1.08137,1.08269,9525
2023.01.18,19:00:00,1.08269,1.0828,1.07874,1.07959,8160
2023.01.18,20:00:00,1.0796,1.07991,1.07868,1.07966,6335
2023.01.18,21:00:00,1.07966,1.07969,1.07872,1.07952,5035
2023.01.18,22:00:00,1.07952,1.07952,1.07876,1.07894,4473
2023.01.18,23:00:00,1.07893,1.07974,1.07892,1.07936,1451
2023.01.19,0:00:00,1.07903,1.07924,1.07873,1.07903,1309
2023.01.19,1:00:00,1.07903,1.07977,1.07898,1.07971,1796
2023.01.19,2:00:00,1.07976,1.07982,1.07863,1.07875,3615
2023.01.19,3:00:00,1.07875,1.07956,1.07825,1.07876,2997
2023.01.19,4:00:00,1.07877,1.07946,1.07822,1.07935,1933
2023.01.19,5:00:00,1.07935,1.08056,1.07926,1.08006,2095
2023.01.19,6:00:00,1.08005,1.08022,1.07931,1.07955,2267
2023.01.19,7:00:00,1.07955,1.07982,1.07908,1.07916,2469
2023.01.19,8:00:00,1.07917,1.08033,1.07909,1.07911,2530
2023.01.19,9:00:00,1.07914,1.0814,1.07825,1.08077,6628
2023.01.19,10:00:00,1.08081,1.0825,1.08034,1.0817,6453
2023.01.19,11:00:00,1.0817,1.08293,1.0816,1.08249,4983
2023.01.19,12:00:00,1.0825,1.08382,1.08154,1.08292,6005
2023.01.19,13:00:00,1.08291,1.08347,1.08161,1.08219,5224
2023.01.19,14:00:00,1.08219,1.08272,1.0805,1.0809,4935
2023.01.19,15:00:00,1.08092,1.0823,1.07955,1.08096,9524
2023.01.19,16:00:00,1.08095,1.08253,1.07951,1.08104,9871
2023.01.19,17:00:00,1.08104,1.08191,1.07836,1.07892,9688
2023.01.19,18:00:00,1.07892,1.08095,1.07874,1.08092,6647
2023.01.19,19:00:00,1.08089,1.08247,1.08088,1.08165,5468
2023.01.19,20:00:00,1.08164,1.08352,1.08131,1.08289,6133
2023.01.19,21:00:00,1.08285,1.08362,1.08212,1.08306,4325
2023.01.19,22:00:00,1.08306,1.08401,1.0828,1.08292,4371
2023.01.19,23:00:00,1.0829,1.08348,1.0828,1.08294,1739
2023.01.20,0:00:00,1.08291,1.08336,1.08269,1.08292,305
2023.01.20,1:00:00,1.08292,1.08368,1.08272,1.08332,1140
2023.01.20,2:00:00,1.08332,1.08404,1.08287,1.08311,1925
2023.01.20,3:00:00,1.08314,1.08437,1.08281,1.08362,2159
2023.01.20,4:00:00,1.08363,1.0844,1.08314,1.08365,1676
2023.01.20,5:00:00,1.08365,1.08384,1.08324,1.08343,1054
2023.01.20,6:00:00,1.08343,1.0835,1.0828,1.08297,1464
2023.01.20,7:00:00,1.08296,1.08356,1.08252,1.08353,1806
2023.01.20,8:00:00,1.08354,1.08368,1.08238,1.08244,1966
2023.01.20,9:00:00,1.08247,1.08466,1.08207,1.084,4914
2023.01.20,10:00:00,1.08403,1.08591,1.08384,1.08407,5472
2023.01.20,11:00:00,1.08403,1.08519,1.08282,1.0831,5673
2023.01.20,12:00:00,1.08311,1.08474,1.08261,1.08388,5450
2023.01.20,13:00:00,1.08387,1.08418,1.08246,1.08251,3900
2023.01.20,14:00:00,1.08252,1.08277,1.08141,1.08185,5269
2023.01.20,15:00:00,1.08185,1.08277,1.08024,1.08065,5172
2023.01.20,16:00:00,1.08065,1.08262,1.08046,1.08215,7986
2023.01.20,17:00:00,1.08216,1.08478,1.08183,1.0831,8613
2023.01.20,18:00:00,1.0831,1.08451,1.08273,1.08306,5675
2023.01.20,19:00:00,1.08305,1.08474,1.08295,1.08438,4286
2023.01.20,20:00:00,1.08437,1.08504,1.08338,1.08475,5263
2023.01.20,21:00:00,1.08476,1.08586,1.08457,1.0854,3514
2023.01.20,22:00:00,1.0854,1.08584,1.08522,1.08565,3610
2023.01.20,23:00:00,1.08567,1.0858,1.08546,1.08557,1115
2023.01.23,0:00:00,1.08639,1.08655,1.0859,1.0865,495
2023.01.23,1:00:00,1.08644,1.08693,1.08613,1.0864,1540
2023.01.23,2:00:00,1.08642,1.08872,1.0864,1.08849,2416
2023.01.23,3:00:00,1.08848,1.08996,1.08806,1.08949,3058
2023.01.23,4:00:00,1.08949,1.0899,1.08897,1.08925,1476
2023.01.23,5:00:00,1.08926,1.0903,1.08926,1.08985,1619
2023.01.23,6:00:00,1.08986,1.08987,1.08889,1.08948,1795
